,G_symbol,head1,head2,head3,head4,head5,head6,head7,head8,abs_mean
85,MAPK6,-0.0002210238051996842,-0.021522039591865556,3.2668227408541704e-05,0.002850193438820871,-7.981493124018081e-05,-0.00492170555546052,0.0008550431331464573,0.0087961058801872,0.004909824320416126
86,PTPN3,-0.000595449929526711,0.00437101300955032,-0.004631542551024949,0.0074377220158310916,-0.0010997534768296085,0.009185161217047854,0.0020349160159051074,-0.0051739931936722406,0.004316193926173485
87,POLB,-0.0007241950806276574,-0.00265445981272429,-0.0009889063957182222,-0.0007114659074829846,-0.001012806244530647,-0.005193496355295992,-0.0005789127081381061,0.010543025930537925,0.002800908554381978
88,ASNS,-0.0010401384419839066,0.006133348377319063,0.0005994781212104242,-0.005265253141204474,-0.00033760863964678555,0.003854749874771175,-0.0010333067415658952,-0.0027478084013655823,0.0026264614673834133
89,PABPC1,1.4614578822974688e-05,0.0035818718076243666,-0.00024884661375858,-0.0103999759940505,-0.0012659394891976015,0.0028908562017450896,-0.0006923538934808129,-0.0015447777579069269,0.0025799045420733567
90,CDC42,-0.0011844261760824608,0.0016388193715925294,-0.00034668880732688666,-0.001045645484012592,-0.00027753184390612523,0.003969610989069106,-0.0007518953867964032,-0.0052930737146262685,0.0018134614716765465
91,RAD18,-3.728979255344959e-05,-0.0010466469000869393,-0.0008211718934369919,0.0007138204036878358,-0.0006320169499093146,-0.001777389238290255,-0.0010845173024341733,0.0031307048456355106,0.0011554446657543087
92,HLTF,-0.0003335902066733736,-0.01046421968237138,0.00047407869467479236,-0.004643886362631871,0.0029046994479642583,-0.003191287969246343,-0.0017328849649699716,0.00299232792164339,0.003342121906271923
93,SPEG,-0.0010434187491095473,-0.0031351499806673263,-0.00021177945271779066,0.0003239883369960371,-0.001690887407750169,0.0006761629911401283,-0.0019189624321819146,0.00924871386598861,0.0022811329020689403
94,HMMR,-0.00028813385874098353,0.006663291584217907,0.0005266374883140089,0.004720650802709225,-0.00339373817537904,0.007666130860110284,5.557402925412992e-05,-0.007224976073800631,0.0038173916090657764
95,XRCC1,-0.0003303269111470064,0.007712611825402103,-0.00105400518448069,0.0027031396653990182,0.00019059477438773377,0.0034031583857273757,-0.00012465699481810312,-0.0004850046855065979,0.0020004373033585786
96,MCM2,0.002158146746382276,-0.0013788709985880492,0.0003532670412864175,-0.004908447795352628,5.475157174380088e-05,-0.0006901134797752409,-0.00038938017316503883,-0.0015381117269188103,0.0014338861916515329
97,SDHA,0.00038200340592535145,-0.0005857588768163352,0.0006350152781011957,0.006938721019115519,-6.119237862874516e-05,-0.0003441952211012574,0.00016476349548764143,-0.001585407309370701,0.0013371321230683435
98,PTGS2,0.001037803427483065,-0.011677205540978524,-0.0011842714287320685,-1.0122719881747082e-05,0.0004609551787053736,-0.0016317042182983307,0.00040421636354956577,0.0005072752826145399,0.002114194270030402
99,TSG101,0.0031227783798454473,0.014112728126058495,-0.0024803411899169967,-0.007740285991266607,0.0008666948208608532,-0.002893692131972625,-0.000277646056762842,-0.008441691619756695,0.00499198228955507
100,GTSE1,-0.00035884112003552236,0.013455350849043228,-0.0010628749682727908,-0.0030935941619868747,-0.0012001570353660012,0.005485972369947054,7.003686755616309e-05,-0.0035008633374454196,0.0035284613387066314
101,ACAT1,0.0006606157537556191,-0.00824887260583154,0.0015877595055595395,-0.0009181010960994224,-0.0008323282623856225,-0.0005124329740193055,8.586342773830932e-05,-0.0009026302053463952,0.001718575478841969
102,FGF4,-0.00020495859099962016,-0.007971317869756567,-0.0003346703065943044,-0.0034776216316862864,-0.00047039504478136056,0.0018010532328894971,-0.0006247669363827156,0.0032260414976318986,0.0022638531388402814
103,FSCN1,-0.004741096547159544,-0.005215822543717742,0.00011474483740270691,-0.0019511643913650142,-0.00047825049294866073,-0.0009848855170064002,0.0006767275013213343,0.004800955155703657,0.0023704558733281325
104,ACTB,2.243833830883002e-05,-0.002111261509504206,-0.0008600001338911705,0.00044001627666398534,0.0024729048271584764,0.0027843042620514257,-0.00694142383087602,0.002725014336973824,0.0022946704394284922
